surface_id,current_live_status,current_entry_model,current_primary_audience,current_backing_data,current_pain_points,v2_target,current_to_v2_decision,phase_owner,migration_priority,promotion_status,review_notes,approved_by,approved_at
ccc,live,MESSAGE2 and loader-driven contract workspace,owners_and_commissioner,worker-backed submission flows plus site contract modules,Split ownership with Front Office and too much slot-first thinking,contract_actions_workspace,replace,phase_10,high,approved,Consolidate contract action ownership and remove split with Front Office,user_directive_2026-03-17,2026-03-17T00:00:00Z
front_office,live,MESSAGE7 and contract-view navigation,owners_and_commissioner,site contract views and helper surfaces,Task intent exists but routing is fragmented and naming is inconsistent,team_operations_workspace,replace,phase_10,high,approved,Retain team-operations intent but rebuild around task model,user_directive_2026-03-17,2026-03-17T00:00:00Z
trade_war_room,live,MESSAGE6 and dedicated trade workbench,owners_and_commissioner,trade workbench html/js plus worker routes,Dense multi-pane screen with heavy cognitive load but still a strong core surface,trade_negotiation_workspace,keep,phase_10,high,approved,Keep as primary negotiation workspace with cleaner routing,user_directive_2026-03-17,2026-03-17T00:00:00Z
tags,partial,Split between CCC and Front Office,commissioner_biased,contract action logic plus helper warnings,Tag flow ownership is split and lifecycle visibility is weak,tag_management_flow,merge,phase_10,high,approved,Unify split tag behavior into one governed lifecycle,user_directive_2026-03-17,2026-03-17T00:00:00Z
mym,live,CCC modal and supporting artifacts,owners_and_commissioner,modal action flow plus dashboard refresh,Flow is usable but needs stronger lifecycle state and publish controls,mym_action_flow,keep,phase_10,medium,approved,Retain action flow with stronger lifecycle and publish controls,user_directive_2026-03-17,2026-03-17T00:00:00Z
extensions,partial,Split between CCC and Front Office,owners_and_commissioner,worker submissions plus contract views,Dual entrypoints create ambiguity about where the action actually lives,extension_action_flow,merge,phase_10,high,approved,One owned extension flow instead of dual entrypoints,user_directive_2026-03-17,2026-03-17T00:00:00Z
restructures,partial,Split between CCC and Front Office,owners_and_commissioner,worker submissions plus contract views,Dual entrypoints create ambiguity about where the action actually lives,restructure_action_flow,merge,phase_10,high,approved,One owned restructure flow instead of dual entrypoints,user_directive_2026-03-17,2026-03-17T00:00:00Z
cap_plan,live,Front Office contract planning views,commissioner_and_power_users,contract views plus cap-related helper logic,Planning intent is valuable but should be separated from transaction execution,cap_planning_view,keep,phase_10,medium,approved,Retain as explicit planning surface rather than embedded side panel,user_directive_2026-03-17,2026-03-17T00:00:00Z
contract_views,live,Front Office plus Reports entrypoints,owners_and_commissioner,report pages and contract-ledger-like artifacts,Reporting and action workflows are blended more than they should be,contract_ledger_views,merge,phase_10,medium,approved,Separate reporting ledger views from action workflows,user_directive_2026-03-17,2026-03-17T00:00:00Z
helpers_warnings,partial,Issue modal plus assistant plus inline warnings,owners_and_commissioner,scattered warning logic across site and worker,Guidance is fragmented and lacks one governed severity model,guidance_and_warning_system,replace,phase_10,high,approved,Rebuild as one governed guidance and warning system,user_directive_2026-03-17,2026-03-17T00:00:00Z
worker_submission_flows,live,worker routes and route-specific forms,commissioner_and_backend,worker submission and append-log routes,Operationally important but too coupled to route-specific behavior and mixed env assumptions,workflow_and_publish_service,replace,phase_9,high,approved,Rebuild under governed publish object model and environment boundaries,user_directive_2026-03-17,2026-03-17T00:00:00Z
report_modes,live,hash or id-driven reports router,owners_and_commissioner,site reports router and static artifacts,Functional for power users but weak task-first routing for everyone else,reporting_suite,keep,phase_12,medium,approved,Retain reporting suite but separate static artifact assumptions from governed marts,user_directive_2026-03-17,2026-03-17T00:00:00Z
post_trade_refresh,live,worker refresh routes after trade actions,commissioner_and_backend,worker recalculation routes and dependent artifacts,Operationally necessary but should become an explicit governed recalculation job,post_trade_recalculation_job,keep,phase_9,high,approved,Retain as governed recalculation job after trade changes,user_directive_2026-03-17,2026-03-17T00:00:00Z
roster_workbench,partial,thin roster landing shell,owners,site rosters workbench shell,Entry point is too thin and forces the user to infer the journey,roster_operations_workspace,replace,phase_10,medium,approved_seed,Promote roster work into a clearer task-based workspace aligned with the broader navigation model,ux_review_2026-03-17,2026-03-17T00:00:00Z
issue_report,live,modal or dedicated issue report entry,owners_and_commissioner,site issue modal and worker bug routes,Useful but should be clearly framed as help and operational feedback,issue_reporting_workspace,keep,phase_10,low,approved_seed,Retain as a governed support and issue intake surface,ux_review_2026-03-17,2026-03-17T00:00:00Z
