player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Cam Ward,QB,1,75,Tier 1,TEN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Howard's actual rankings are DLF Premium subscriber-only. Score is directional consensus + known Howard methodology
Jaxson Dart,QB,2,55,Tier 2,NYG,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Jalen Milroe,QB,3,52,Tier 2,SEA,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: rushing upside profile likely a Howard lean above pure-passer skeptics
Shedeur Sanders,QB,4,42,Tier 3 - Capital Concern,CLE,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Tyler Shough,QB,5,30,Tier 4 - Older Profile,NOS,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Howard's age curve heavily fades Shough below consensus
Ashton Jeanty,RB,1,99,Tier 1 - Generational,LVR,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only. Unanimous 1.01
Omarion Hampton,RB,2,85,Tier 2 - R1 Hit Rate,LAC,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
TreVeyon Henderson,RB,3,72,Tier 2 - WhipperSnapper Lean,NEP,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Henderson early breakout (true freshman OSU) likely a Howard lean above consensus
Quinshon Judkins,RB,4,68,Tier 3,CLE,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Kaleb Johnson,RB,5,62,Tier 3,PIT,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: older late breakout - Howard may fade vs consensus
RJ Harvey,RB,6,42,Tier 4 - Older,DEN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Howard age curve fades Harvey heavily below consensus
Cam Skattebo,RB,7,40,Tier 4,NYG,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Bhayshul Tuten,RB,8,38,Tier 4,JAX,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Dylan Sampson,RB,9,35,Tier 4,CLE,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Travis Hunter,WR,1,93,Tier 1,JAX,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Tetairoa McMillan,WR,2,90,Tier 1,CAR,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Emeka Egbuka,WR,3,82,Tier 2,TBB,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: WhipperSnapper-friendly (early Ohio St breakout); likely Howard lean above consensus
Luther Burden III,WR,4,75,Tier 2,CHI,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: very young early-breakout profile - Howard likely high
Matthew Golden,WR,5,68,Tier 3,GBP,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Jayden Higgins,WR,6,55,Tier 3 - Older,HOU,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: 5th-year senior - Howard age fade
Tre Harris,WR,7,52,Tier 3,LAC,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Jaylin Noel,WR,8,50,Tier 3,HOU,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Kyle Williams,WR,9,48,Tier 3,NEP,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Jalen Royals,WR,10,42,Tier 4,KAN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Jack Bech,WR,11,38,Tier 4,LVR,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Elic Ayomanor,WR,12,35,Tier 4 - Late Breakout,TEN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Late breakout - Howard age fade likely
Tyler Warren,TE,1,90,Tier 1,IND,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only. Late breakout but elite production
Colston Loveland,TE,2,85,Tier 1,CHI,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Mason Taylor,TE,3,55,Tier 2,NYJ,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Harold Fannin Jr.,TE,4,52,Tier 3,CLE,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Terrance Ferguson,TE,5,42,Tier 3,LAR,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Elijah Arroyo,TE,6,38,Tier 4,SEA,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
