player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Carnell Tate,WR,1,,1,Tennessee Titans,https://sports.yahoo.com/nfl/article/2026-nfl-draft-wide-receiver-rankings-with-matt-harmon-194332729.html,"Tier 1 (Tate/Lemon/Tyson alone); Vertical Outside; 77.3% success vs man; all-time contested catch rate; zero drops; WR1 prospect"
Makai Lemon,WR,2,,1,Philadelphia Eagles,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 1; Slot-Mostly archetype; best hands in class; intermediate/deep-breaking route success; WR1 potential"
Jordyn Tyson,WR,3,,1,New Orleans Saints,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 1; Slasher Outside; led class in success rate vs zone; medical red flags; volatile catch point"
KC Concepcion,WR,4,,2,Cleveland Browns,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 2; Slasher Outside; best separator in class; demolishes man and press coverage; drop issues"
Denzel Boston,WR,5,,2,Cleveland Browns,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 2; Slasher Outside; contested catch experience; X-receiver limitation"
Omar Cooper Jr.,WR,6,,2,New York Jets,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 2; Slot-Mostly; best YAC prospect; one of best after-catch prospects Harmon has charted; needs man coverage growth"
Chris Bell,WR,7,,3,Miami Dolphins,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 3; Vertical Outside; ACL recovery; size/speed mismatch threat"
Chris Brazzell II,WR,8,,3,Carolina Panthers,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 3; Vertical Outside; fluid hips; volatile profile; intermediate area strength"
Ja'Kobi Lane,WR,9,,3,Baltimore Ravens,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 3; Vertical Outside; 6-4/200; contested catch ability; inconsistent route-running"
Bryce Lance,WR,10,,3,New Orleans Saints,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 3; Vertical Outside; 94th percentile athleticism; linear/raw"
De'Zhaun Stribling,WR,11,,3,San Francisco 49ers,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 3; Vertical Outside; 6-2/210; man coverage threat; sleeper"
Ted Hurst,WR,12,,3,Tampa Bay Buccaneers,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 3; Slasher Outside; 97th percentile broad jump; lower competition"
Elijah Sarratt,WR,13,,4,Baltimore Ravens,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 4; X-Receiver who could change roles; 6-2/212; contested catch prowess; separation concerns; slot-destined"
Malachi Fields,WR,14,,4,New York Giants,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 4; X-Receiver; 6-4/215+; zone strength; lacks vertical separation gear; Z-receiver fit"
Germie Bernard,WR,15,,4,Pittsburgh Steelers,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 4; Slot-Mostly; versatile alignment; intermediate route excellence; dig route specialist"
Skyler Bell,WR,16,,5,Buffalo Bills,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 5; Slot-Mostly; 1000-yd production; weak open-field; Z-receiver role"
Zachariah Branch,WR,17,,5,Atlanta Falcons,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 5; Slot-Only; unprecedented screen-route rate; intermediate man coverage work; incomplete route tree"
Antonio Williams,WR,18,,5,Washington Commanders,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 5; Slot-Only; technically refined; Sterling Shepard-type career potential"
Deion Burks,WR,19,,5,,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 5; Slot-Only; 5-10/180; 92nd-98th pctl combine; press coverage vulnerability"
Brenen Thompson,WR,20,,5,,https://sports.yahoo.com/fantasy/article/2026-nfl-draft-whats-your-flavor--sorting-top-20-wr-prospects-in-archetype-buckets-145346718.html,"Tier 5; Slot-Only; 5-9/164; 4.26 speed; can outrun SEC defense; route development needed"
