season,tracking_for_season,tag_type,position_group,tier,player_id,player_name,position,franchise_id,source_metric_used,included_in_calculation,calculation_group,source_salary_value,ranking_in_group,tier_rank_min,tier_rank_max,final_tag_cost_bucket,derived_player_tag_bid,formula_label,notes
2025,2025,franchise,QB,1,13116,"Mahomes, Patrick",QB,,week1_aav_snapshot,Y,QB_tier_1_source_pool,54000,1,1,5,50000,,Avg Top 1-5 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,1,14779,"Herbert, Justin",QB,,week1_aav_snapshot,Y,QB_tier_1_source_pool,51000,2,1,5,50000,,Avg Top 1-5 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,1,14778,"Tagovailoa, Tua",QB,,week1_aav_snapshot,Y,QB_tier_1_source_pool,49000,3,1,5,50000,,Avg Top 1-5 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,1,13589,"Allen, Josh",QB,,week1_aav_snapshot,Y,QB_tier_1_source_pool,46000,4,1,5,50000,,Avg Top 1-5 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,1,14777,"Burrow, Joe",QB,,week1_aav_snapshot,Y,QB_tier_1_source_pool,46000,5,1,5,50000,,Avg Top 1-5 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,13593,"Jackson, Lamar",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,46000,6,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,14056,"Murray, Kyler",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,45000,7,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,12620,"Prescott, Dak",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,45000,8,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,14783,"Hurts, Jalen",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,42000,9,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,14059,"Jones, Daniel",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,36000,10,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,12611,"Goff, Jared",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,35000,11,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,13590,"Mayfield, Baker",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,31000,12,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,15237,"Lawrence, Trevor",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,29000,13,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,15698,"Purdy, Brock",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,28000,14,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,2,15238,"Fields, Justin",QB,,week1_aav_snapshot,Y,QB_tier_2_source_pool,25000,15,6,15,37000,,Avg Top 6-15 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,3,14782,"Love, Jordan",QB,,week1_aav_snapshot,Y,QB_tier_3_source_pool,21000,16,16,24,16000,,Avg Top 16-24 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,3,13592,"Darnold, Sam",QB,,week1_aav_snapshot,Y,QB_tier_3_source_pool,18000,17,16,24,16000,,Avg Top 16-24 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,3,9431,"Stafford, Matthew",QB,,week1_aav_snapshot,Y,QB_tier_3_source_pool,18000,18,16,24,16000,,Avg Top 16-24 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,3,11150,"Smith, Geno",QB,,week1_aav_snapshot,Y,QB_tier_3_source_pool,17000,19,16,24,16000,,Avg Top 16-24 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,3,16579,"Williams, Caleb",QB,,week1_aav_snapshot,Y,QB_tier_3_source_pool,15000,20,16,24,16000,,Avg Top 16-24 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,3,16148,"Young, Bryce",QB,,week1_aav_snapshot,Y,QB_tier_3_source_pool,13000,21,16,24,16000,,Avg Top 16-24 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,3,16581,"Daniels, Jayden",QB,,week1_aav_snapshot,Y,QB_tier_3_source_pool,12000,22,16,24,16000,,Avg Top 16-24 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,3,16150,"Stroud, C.J.",QB,,week1_aav_snapshot,Y,QB_tier_3_source_pool,12000,23,16,24,16000,,Avg Top 16-24 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,QB,3,16584,"McCarthy, J.J.",QB,,week1_aav_snapshot,Y,QB_tier_3_source_pool,11000,24,16,24,16000,,Avg Top 16-24 QB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,RB,1,13604,"Barkley, Saquon",RB,,week1_aav_snapshot,Y,RB_tier_1_source_pool,61000,1,1,4,52000,,Avg Top 1-4 RB AAV,Included in stored calc_breakdown source pool for this tier.
2025,2025,franchise,RB,1,13130,"McCaffrey, Christian",RB,,week1_aav_snapshot,Y,RB_tier_1_source_pool,56000,2,1,4,52000,,Avg Top 1-4 RB AAV,Included in stored calc_breakdown source pool for this tier.
