rule_id,source_text,ambiguity_type,current_enforcement,target_enforcement,owner_decision_required,implementation_blocked,approved_by,approved_at,notes
AMB-001,2014 taxi-squad cuts and cap-charge clarification,interpretation_gap,mixed historical evidence,needs explicit codified rule,yes,yes,user_directive_2026-03-17,2026-03-17T00:00:00Z,Settings changes file cites clarification but implementation standard needs confirmation
AMB-002,2014 second RB lineup proposal adoption,adoption_unknown,not encoded as settled,confirm adopted or rejected,yes,yes,user_directive_2026-03-17,2026-03-17T00:00:00Z,Source notes proposal but asks whether any version was adopted
AMB-003,Restructures allowed only when an extension is granted,scope_and_exception,partially reflected in current flows,needs explicit hard or soft block policy,yes,yes,user_directive_2026-03-17,2026-03-17T00:00:00Z,Current UI supports restructures but exact gating must be codified
AMB-004,Max of six 3-year contracts excluding rookie contracts,counting_rule,partially enforced,needs authoritative counting logic,yes,yes,user_directive_2026-03-17,2026-03-17T00:00:00Z,Historical vote exists but engine contract definition must be pinned
AMB-005,Secondary owner back-loaded contract cut penalty handling,exception_policy,unknown,needs commissioner decision,yes,yes,user_directive_2026-03-17,2026-03-17T00:00:00Z,Historical debate noted with unclear final rule
AMB-006,"Defensive first-round rookie option handling should be half the cost of an extension per commissioner direction, but Discord-backed detail still needs consolidation",provisional_formula,commissioner_directed_provisional_guidance,codify explicit defensive option formula and examples,no,yes,user_directive_2026-03-18,2026-03-18T00:00:00Z,Offensive option rule is now specified; defensive handling is provisional until Discord detail is consolidated into governed text
AMB-007,"Pre-auction drop lock lead is commissioner-directed as a normally no-more-than-48-hour window before auction start, but the exact season-specific value should remain configurable rather than universally hardcoded",configurable_window,commissioner_directed_short_window_normally_within_48h,store season-specific pre_auction_drop_lock_days or timestamp and resolve drop visibility from that configured value,no,no,user_directive_2026-03-18,2026-03-18T00:00:00Z,"Rule shape is settled; normal operating target is within 48 hours before auction start, but season-specific configuration still controls exact implementation."
AMB-008,"Trade salary formula is now commissioner-directed as half of selected outgoing active-roster or IR current-season salary, with taxi excluded",resolved_formula_pending_rulebook_cleanup,current V1 UI limits salary trade to half of selected outgoing non-Taxi player salary,"use selected outgoing active or IR current-season salary only, exclude taxi, cap at 50 percent, and apply mirrored plus/minus cap adjustments",no,no,user_directive_2026-03-18,2026-03-18T00:00:00Z,"Formula is now governed. Remaining work is rulebook wording cleanup, not business-rule discovery."
AMB-009,Actual MFL behavior when accepting a trade involving a player whose game already started,source_system_behavior,official docs incomplete; UPS_V2 deferred-processing target remains provisional,empirically validate on test league 25625 at Week 1 2026 and then lock blocked_vs_deferred engine behavior,no,yes,user_directive_2026-03-18,2026-03-18T00:00:00Z,Linked to SSA-007 and the governed Week 1 2026 trade kickoff acceptance validation.
AMB-010,Release-1 trade execution scope should stay two-team even though later multi-party support is desired,resolved_release_scope,trade docs were multi-party ready but release scope was not formally pinned,release 1 supports self-serve two-team execution only; three-way or larger trades remain commissioner-managed exceptions until later promotion,no,no,user_directive_2026-03-18,2026-03-18T00:00:00Z,"Architecture remains multi-party ready, but release scope is now explicitly settled."
AMB-011,Legacy Discord mapping row ups_commish points to franchise 0010 while approved test owner target is franchise 0008,data_normalization,dual commissioner identities are approved for 0008 test routing but stored mapping is not normalized,normalize legacy 0010 co-commish data into the approved 0008 owner-target model before production owner-target rollout,no,yes,user_directive_2026-03-18,2026-03-18T00:00:00Z,Not a blocker for test routing; still blocks production owner-target rollout.
AMB-012,Penalty or automatic cap-adjustment policy for unresolved over-cap state after trade or during auction,penalty_policy,trade reversal is disallowed; lineup legality is current in-season enforcement; auction enforcement still open,decide owner-meeting penalty policy and auction-stage blocking behavior without reversing completed trades,yes,yes,user_directive_2026-03-18,2026-03-18T00:00:00Z,Explicitly parked for owner meeting and later auction governance.
AMB-013,"Free-agent auction missed-nomination penalties escalate from 3K in the current rulebook, but the exact offense ladder is not consistently codified",penalty_ladder_gap,current rulebook confirms escalation starts at 3K but the penalty section is explicitly under review,store the penalty ladder as governed configurable policy until owner direction or rulebook overhaul settles the exact amounts,yes,yes,user_directive_2026-03-18,2026-03-18T00:00:00Z,"Nomination cadence is now settled; only the exact dollar escalation schedule remains unresolved."
