artifact_path,promotion_status,source_basis,external_source_path,promotion_date,promoted_by,approved_by,phase_gate_ref,adr_ref,evidence_ref,source_version_hash,notes
V2_GOVERNED/MASTER_PLAN_v7.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Approved planning baseline for UPS_V2 foundation
V2_GOVERNED/governance/agent_registry.csv,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Standing lane definitions
V2_GOVERNED/governance/agent_assignment_view.csv,approved_seed,session_assignments,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,session_snapshot,Live assignment tracking
V2_GOVERNED/governance/agent_operations_runbook.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Agent governance rules and operating controls
V2_GOVERNED/governance/rules_watch_lane_policy.md,approved_seed,governance_hardening,,2026-03-18,Codex,user_session,phase_reports/phase_1_completion_report.md,ADR-0000,revision_log.md,initial_seed,Standing lane policy for continuous live site-settings and export cross-checking
V2_GOVERNED/governance/publish_object_model.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed publish model
V2_GOVERNED/governance/canonical_entity_catalog.md,approved_seed,plan_v7_plus_review,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed entity skeleton
V2_GOVERNED/governance/workflow_state_models.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed workflow lifecycle model
V2_GOVERNED/governance/warning_block_policy_matrix.csv,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Governed warning and block policy
V2_GOVERNED/governance/phase_boundary_policy.md,approved_seed,plan_v7,,2026-03-17,Codex,user_session,phase_reports/phase_0_completion_report.md,ADR-0000,revision_log.md,initial_seed,Phase boundary clarification
