alignment_id,governed_artifact,rule_or_workflow,source_system,source_field_or_page,current_source_value,alignment_status,resolution_path,owner_lane,last_validated_at,notes
SSA-001,V2_GOVERNED/requirements/actions/add_action_rule.md,add_action_rule,MFL league export,currentWaiverType;endWeek;lastRegularSeasonWeek,BBID_FCFS;17;14,matched,keep_governed_rule_and_continue,data_governance,2026-03-18T00:00:00Z,Live 2026 league export aligns with governed add mode and season-end boundary.
SSA-002,V2_GOVERNED/requirements/actions/add_action_rule.md,free_agent_auction_start_timing,MFL transactions and rulebook,transactions_auction vs written rulebook,normal target last weekend of July; 2025 actual start 2025-08-03; timing may shift for league availability and operations,intentional_override,keep_flexible_rule_and_track_operational_event_dates,rules_watch,2026-03-18T00:00:00Z,"Timing is intentionally flexible; last weekend of July is the normal target period, not an invariant hard start date."
SSA-003,V2_GOVERNED/requirements/actions/drop_action_rule.md,drop_action_rule,MFL league export,endWeek,17,pending_live_validation,validate_full_drop_gating_against_live_site_settings,ops_runtime,2026-03-18T00:00:00Z,"League end boundary confirmed, but kickoff lock and auction lock still need direct source-system alignment review."
SSA-004,V2_GOVERNED/requirements/actions/drop_action_rule.md,pre_auction_cut_down_lead,MFL transactions and commissioner directive,transactions_auction vs pre-auction roster-lock window,normal target within 48 hours before auction start; season-specific lead may vary,no_direct_source_setting,keep_season_specific_lead_configurable_and_track_operational_event_dates,rules_watch,2026-03-18T00:00:00Z,No direct MFL setting exists for this lead; the normal target is operational guidance and should be checked against the live auction calendar each season.
SSA-005,V2_GOVERNED/requirements/actions/trade_offer_action_rule.md,trade_offer_action_rule,MFL league export,defaultTradeExpirationDays;lockout,7;Yes,matched,keep_mfl_expiration_as_source_ceiling_and_drive_dm_nudges_with_governed_policy,ops_runtime,2026-03-18T00:00:00Z,"Live 2026 league export confirms default trade expiration is 7 days and lockout is enabled; the official MFL Developers Page also confirms tradeProposal EXPIRES support and tradeResponse accept|reject|revoke semantics. UPS_V2 DM nudges are a workflow layer, not a contradictory trade-expiration rule."
SSA-006,V2_GOVERNED/requirements/actions/trade_offer_action_rule.md,thanksgiving_trade_deadline,MFL plus UPS deadline model,league export plus worker deadline calendar,defaultTradeExpirationDays=7; worker deadline calendar resolves Thanksgiving kickoff,no_direct_source_setting,derive_deadline_from_thanksgiving_kickoff_calendar_and_log_season_resolution,rules_watch,2026-03-18T00:00:00Z,No single live MFL field defines the UPS Thanksgiving kickoff trade deadline; keep the governed deadline anchored to the resolved NFL Thanksgiving kickoff event.
SSA-007,V2_GOVERNED/requirements/actions/trade_offer_action_rule.md,already_started_player_trade_acceptance,MFL trade response behavior,tradeResponse import behavior for already-started players,unknown,pending_live_validation,validate_real_MFL_acceptance_behavior_before_finalizing_deferred_processing_engine,mfl_matrix,2026-03-18T00:00:00Z,"Current target behavior prefers deferred next-week processing, but official MFL evidence remains incomplete: the Developers Page documents tradeResponse parameters only, while an official support page suggests owners cannot trade players tied to submitted starting lineups. Empirical validation is still required. Scheduled governed validation: Week 1 2026 on test league 25625."
SSA-008,V2_GOVERNED/requirements/workspaces/trade_negotiation_workspace.md,trade_dm_notification_model,MFL plus UPS notification policy,defaultTradeExpirationDays vs Discord-first workflow,MFL default expiration 7 days; UPS target notification path Discord DM only,intentional_override,disable_email_as_primary_trade_path_and_keep_website_acceptance_governed,rules_watch,2026-03-18T00:00:00Z,Discord DM is the governed notification path for UPS_V2 even though MFL still has native trade-expiration behavior.
SSA-009,V2_GOVERNED/requirements/workspaces/trade_negotiation_workspace.md,trade_dm_test_rollout,UPS governed delivery policy,test_only_trade_dm_rollout,test_only_dual_commissioner_identity_routing_for_0008,intentional_override,keep_test_only_until_mapping_review_and_rollout_approval,ops_runtime,2026-03-18T00:00:00Z,Discord trade DMs are intentionally test-only for now and should route to both approved commissioner identities for franchise 0008 during test.
SSA-010,V2_GOVERNED/requirements/actions/trade_offer_action_rule.md,franchise_to_discord_mapping,V1 database mapping source,mfl_database.db.discord_accountdetails,13_rows_with_franchise_and_discord_userid_present,pending_live_validation,validate_mapping_resolution_rules_and_resolve_duplicate_or_environment_specific_entries_before_prod_rollout,data_governance,2026-03-18T00:00:00Z,"The stored mapping source exists locally and appears populated. Franchise 0008 is explicitly approved to target both commissioner identities during test, but the stored ups_commish row still points to legacy franchise 0010 and should be normalized before production rollout."
SSA-011,V2_GOVERNED/requirements/actions/trade_offer_action_rule.md,trade_salary_formula,UPS governed business rule,commissioner_directive_vs_current_v1_trade_ui,half_of_selected_outgoing_active_or_ir_current_season_salary;taxi_excluded,intentional_override,keep_governed_formula_and_clean_up_rulebook_wording,data_governance,2026-03-18T00:00:00Z,"The traded-salary formula is now governed directly from commissioner direction and aligns with the current V1 non-taxi half-salary behavior, but it is now explicitly anchored to active roster or IR current-season salary rather than generic blind-bid semantics."
SSA-012,V2_GOVERNED/requirements/actions/trade_offer_action_rule.md,trade_cap_compliance_behavior,UPS governed policy,legacy_rulebook_wording_vs_target_execution,legacy_24_hour_compliance_wording;target_no_trade_reversal_offseason_or_regular_season,intentional_override,clean_up_rulebook_wording_and_decide_penalty_policy_at_owner_meeting,rules_watch,2026-03-18T00:00:00Z,"UPS_V2 should not auto-reverse trades for cap overage; offseason has no salary-cap blocking, regular season is enforced through lineup legality, and penalties/auto-adjustments remain pending owner-meeting decision."
SSA-013,V2_GOVERNED/requirements/actions/trade_offer_action_rule.md,trade_release_scope,UPS release governance versus MFL trade API,tradeProposal/tradeResponse capabilities,MFL documents two-franchise trade endpoints; no direct source-system setting defines UPS self-serve three-way release scope,no_direct_source_setting,keep_release_1_two_team_scope_and_preserve_multi_party_ready_architecture,mfl_matrix,2026-03-18T00:00:00Z,"Release scope is governed by UPS_V2 product policy, not by a single MFL setting. First release stays two-team self-serve while architecture remains ready for later multi-party support."
SSA-014,V2_GOVERNED/requirements/actions/auction_nomination_rule.md,free_agent_auction_nomination_cadence,MFL league export plus UPS governed policy,auction_kind;minBid;bidIncrement;auctionStartAmount;salaryCapAmount,email;1000;1000;300000;300000.49,no_direct_source_setting,keep_source_backed_email_auction_mechanics_but_govern_daily_nomination_cadence_in_ups_v2,rules_watch,2026-03-18T00:00:00Z,"Live MFL settings confirm the underlying email-auction mechanics and $1K bid structure, but they do not expose the daily two-nomination cadence, noon start cycle, midnight reset, or nomination-complete exemptions. Those remain governed UPS_V2 policy."
