case_id,conceptual_data,source_paths,canonical,to_deprecate,migration_path,consumer_count,severity,blocked_by,notes
DUP-001,Rookie draft history,site/acquisition/rookie_draft_history.json (1.3MB);site/rookies/rookie_draft_history.json (2.5MB),"site/rookies/rookie_draft_history.json (authoritative, larger, more recent)",site/acquisition/rookie_draft_history.json,"1. Verify site/rookies/ is the only writer (pipelines/etl/scripts/build_rookie_draft_hub.py, pipelines/analytics/rookie_extension_followthrough.py, pipelines/analytics/rookie_hit_rate_build.py) 2. Update site/acquisition/ consumers (acquisition_hub.js) to read from site/rookies/ 3. Update ETL script build_acquisition_hub_artifacts.py to copy or symlink from canonical 4. Delete site/acquisition/rookie_draft_history.json from git 5. Add migration note to inventory",4,"Critical (league functionality: rookie draft analytics, extension tracking)",Both writers verified + storage strategy documented,"Size discrepancy suggests different schemas or refresh cadences. Acquisition hub reads acquisition/version; rookies reads rookies/version. Both feed HPM pages but with different use cases — verify no drift before consolidation."
DUP-002,League ID hardcoding (primary),site/hpm-standings.html (74598);site/ups_options_widget.js (hardcoded 74598 fallback);site/rosters/roster_workbench.js (implied);site/trades/trade_workbench.js (implied);site/rookies/rookie_draft_hub.js (via worker);worker/src/index.js (runtime env var);pipelines/etl/scripts/*.py (74598 defaults),"Environment variable LEAGUE_ID or MFL_LEAGUE_ID (source-of-truth for worker, scripts)","All hardcoded 74598 in site/*.js and site/**/*.html","1. Replace all hardcoded 74598 in site/hpm-*.html with window.UPS_LEAGUE_ID global 2. Add LEAGUE_ID injection to site/loader.js that parses from URL + sets window.UPS_LEAGUE_ID 3. Update all site/*.js modules to use window.UPS_LEAGUE_ID instead of hardcoded values 4. Verify worker.upsmflproduction endpoint injects LEAGUE_ID as header or query param 5. Update ETL script defaults to read MFL_LEAGUE_ID env var; add validation",15,"Critical (league functionality: all league-aware operations)","Move LEAGUE_ID to single injectable global (window.UPS_LEAGUE_ID) + worker env var","Multiple paths are env-var-driven (worker, pipelines), while site hardcodes. HPM expansion to other leagues would break. This is the highest-priority consolidation."
DUP-003,Trade submission handlers (duplicate routes),/trade-offers (POST);/api/trades/proposals (POST) both in worker/src/index.js,"Single canonical POST /api/trades/proposals",/trade-offers (POST) legacy path,"1. Audit both route handlers in worker/src/index.js for functional parity 2. Verify trade_workbench.js uses /trade-offers; update to /api/trades/proposals 3. Add deprecation warning to /trade-offers: redirect with 301 + log 4. Keep /trade-offers for 1 release for backward compat, then remove 5. Update inventory to reflect single canonical path",2,"Critical (league functionality: trade enforcement)","Code review of both handlers for parity","Both routes exist side-by-side in worker. trade_workbench.js hardcodes /trade-offers. Risk: divergence if one handler is updated and not the other."
DUP-004,Rules text (multiple sources of truth),services/rulebook/data/rules.json (v2024.2, stale);docs/league_context_v1.md;inline rule strings in site/ccc/*.js;memory/league_rules_2026_corrections.md (67-comment v14 audit),"memory/league_rules_2026_corrections.md (Keith's canonical 2026 corrections, most recent)","services/rulebook/data/rules.json (entirely; not a patch source)","1. Rebuild services/rulebook/data/rules.json from memory/league_rules_2026_corrections.md canonical 2. Update services/rulebook/tools/build_rulebook_json.py to ingest v14 corrections 3. Remove inline rule strings from site/ccc/*.js; load from worker /api/corrections endpoint 4. Sync docs/league_context_v1.md to rules.json (deprecate .md) 5. Add audit workflow: monthly diff between rules.json and Keith's changelog",8,"Critical (rule enforcement: contracts, cap, tags, extensions)","Keith decision on which sections to backport to rules.json; API stability for site consumers","rules.json is v2024.2 as of 2026-02-14. memory file shows 500+ lines of corrections. This is the consolidation blocker for all rule-dependent logic."
DUP-005,Player ID crosswalks (multiple systems),D1:player_id_crosswalk (primary ETL output);pipelines/etl/data_cache_mfl_to_gsis_crosswalk.json (cache);pipelines/etl/data/player_id_crosswalk.csv (backup);site-embedded mapping in trade_value_model_2026.json (mfl_to_gsis field),"D1:player_id_crosswalk (canonical, single source)",pipelines/etl/data_cache_mfl_to_gsis_crosswalk.json;pipelines/etl/data/player_id_crosswalk.csv (if cache only);site/trade-value/trade_value_model_2026.json mfl_to_gsis field,"1. Ensure all writers (build_player_id_crosswalk.py, patch_qb_crosswalk_gaps.py) UPSERT to D1 as primary 2. Make .json cache a READ-ONLY export of D1 (regenerate on demand, don't commit) 3. Remove embedded mfl_to_gsis from trade_value_model_2026.json; fetch from D1 at runtime 4. Update all scripts reading crosswalk to use D1 primary; cache as fallback 5. Document: D1 is SoT, cache is artifact",6,"Critical (player analytics: auction model, advanced stats, projections)","D1 migration strategy (when cache files are deprecated)","Multiple writers to D1 (build, patch). Patch is dependent on build. Cache file in analytics/ may be stale. Need clear precedence rules."
DUP-006,Auction value model (v1 vs v2),site/trade-value/trade_value_model_2026.json (output of v1);D1:auction_player_value_model_v1;D1:auction_player_value_model_v2 (v2 reads v1 as input),"D1:auction_player_value_model_v2 (production, supersedes v1 per memory/scoring_history_eras.md)","site/trade-value/trade_value_model_2026.json (legacy output); D1:auction_player_value_model_v1 (if v2 fully supersedes); build_auction_value_model.py (if v1 not called)","1. Verify v2 reads all signals from v1 (era, tier, regime multipliers) 2. Confirm all HPM consumers (trade_grader.py, pick_valuation.py, build_rookie_draft_hub.py) read from v2, not v1 3. Keep build_auction_value_model.py running to populate v1 (v2 input) OR refactor to compute v1 inputs inline 4. Sunset build_auction_value_model.py if v2 inlines all v1 logic 5. Update site/trade-value/ to export v2 as canonical (rename to auction_value_model_2026.json, deprecate schema changes)",3,"Critical (league functionality: auction bid guidance)","Keith decision: does v1 persist as a model artifact or is it purely v2 input?","v2 is flagged as successor (memory/scoring_history_eras.md). Both scripts run; unclear if v1 is still used downstream. Risk: dual maintenance."
DUP-007,Embed loaders (multiple naming patterns),site/loader.js (global utility);site/ccc/mfl_hpm_embed_loader.js;site/acquisition/mfl_hpm_embed_loader.js;site/rosters/mfl_hpm_embed_loader.js;site/trades/mfl_hpm_embed_loader.js;site/rookies/mfl_hpm_embed_loader.js;site/standings/mfl_hpm_embed_loader.js;site/reports/mfl_hpm_embed_loader.js;site/stats_workbench/mfl_hpm_embed_loader.js;site/team_operations/mfl_hpm_embed_loader.js;site/mcm_embed_loader.js (separate);site/ups_options_widget_embed_loader.js (separate);site/ups_options_widget_embed_loader.js (root duplicate),"Single shared embed_loader.js in site/ root; all subdir mfl_hpm_embed_loader.js are near-identical clones","All subdir mfl_hpm_embed_loader.js copies (keep only canonical in root); mcm_embed_loader.js; ups_options_widget_embed_loader.js duplicates","1. Audit all 13 mfl_hpm_embed_loader.js files for functional differences (likely none) 2. Create canonical site/embed_loader_mfl_hpm.js with all logic 3. Replace each subdir loader with import from canonical (or HTTP import from CDN) 4. Consolidate mcm_embed_loader.js into embed_loader_mfl_hpm.js with flag 5. Remove ups_options_widget_embed_loader.js duplicate in root; keep only site/options/ version 6. Update all hpm-*.html to reference consolidated loader",24,"Low (cosmetic: loader pattern consistency)","Code review for functional equivalence across all loaders","13 embed loaders, mostly identical. site/ups_options_widget_embed_loader.js appears in BOTH site/ups_options_widget_embed_loader.js and site/options/ups_options_widget_embed_loader.js — verify which is active."
DUP-008,Contract data layer (multiple sources),D1:contract_forum_export_v3_all (3 writers: ingest_discord_contracts.py, ingest_contract_logs_2019_2021.py, load_mym_submissions_2025.py);D1:contract_submissions (sync from JSON logs);site/ccc/*.json submission logs (mym_submissions.json, tag_submissions.json, etc.),"D1:contract_forum_export_v3_all (canonical audit log, all sources feed here)","D1:contract_submissions (if redundant); site/ccc/ JSON logs (if purely ephemeral); decide on Git vs. worker storage for live submissions","1. Verify execution order of 3 writers to contract_forum_export_v3_all (Discord, Legacy, MYM) — ensure no race 2. Confirm contract_submissions table adds no new info vs v3_all 3. Clarify: are site/ccc/*.json files git-committed snapshots or live worker storage? 4. If git snapshots: add refresh job after each writer runs 5. If worker storage: remove from git, serve via /api/contract-log endpoint 6. Document: v3_all = SoT, others = derived",8,"Critical (league functionality: contract audit trail)","Three writers must be atomic or clearly sequenced","Multiple ingestion streams (Discord, forum logs 2019-2021, MYM 2025) feed one table. Risk: race conditions or out-of-order ingestion. Audit trail depends on correctness."
DUP-009,Year hardcoding (season references),site/rosters/roster_workbench.js (2024-12-30, 2025-12-29, 2026-12-29 season_complete dates);site/team_operations/team_operations.js (2026-09-06 contract deadline);site/loader.js (2026-03-09 launch overlay);site/rookies/rookie_draft_hub.js (May 2026 draft date);site/ups_options_widget_embed_loader.js (cache version 20260311a);pipelines/etl/scripts (various 2026 defaults),"currentSeason property (passed from worker URL or MFL API) — NOT hardcoded constants","All hardcoded 2024, 2025, 2026 dates in site/*.js","1. Replace all hardcoded season dates in site/ with dynamic currentSeason (from URL or worker endpoint) 2. For fixed-date launches (contract deadline, draft date), add to worker /api/season-calendar endpoint 3. Season-complete dates: compute from NFL calendar (last game date + 1 day), not hardcoded 4. Update cache version stamps (20260311a) to auto-derive from git commit + build date 5. Ensure all season-dependent logic reads from worker API, not hardcoded",10,"Medium (impacts next season; only breaks on year boundary)","season_complete date generation logic (football schedule); Keith decision on calendar service","Hardcoded dates will break Jan 1 2027. Currently works because 2026 date assumptions are correct. Every year requires code updates."
DUP-010,Franchise ID hardcoding,site/ccc/ccc.js (franchises 0001-0012 with nicknames; commish=0008),"Config JSON: site/ccc/franchises.json (new) or worker endpoint /api/league-config/franchises","Hardcoded franchise list in ccc.js","1. Extract franchises 0001-0012 + nicknames to site/ccc/franchises.json 2. Create worker endpoint GET /api/league-config/franchises that returns lineup from MFL API 3. Update ccc.js to load franchises at runtime from endpoint (or fallback to local JSON) 4. Special case: commish ID (0008) — load from worker config or environment variable 5. Add validation: warn if franchises list doesn't match MFL reality (on/off-season reconciliation)",2,"Medium (league expansion risk; commish dependency)","Worker endpoint implementation; MFL franchise list validation","Expansion to 13+ franchises requires code edit today. Commish=0008 is brittle if ownership changes."
DUP-011,Trade value model writers (v1 to v2 dependency),pick_valuation.py writes site/trade-value/trade_value_model_2026.json;trade_grader.py reads it;build_rookie_draft_hub.py reads it;build_auction_value_model_v2.py reads trade_value_model_v1 (D1),"build_auction_value_model_v2.py output (D1:auction_player_value_model_v2) → pick_valuation.py → site/trade-value/trade_value_model_2026.json","Dependency chain ordering unclear; need explicit execution DAG","1. Document execution order: (1) build_auction_value_model_v2.py (D1 output) (2) pick_valuation.py (read v2, write site/) (3) trade_grader.py & build_rookie_draft_hub.py (consume site/ JSON) 2. Verify no race if pick_valuation runs concurrently with consumers 3. Add timestamp metadata to site/trade_value_model_2026.json tracking source (v2 run date) 4. Add validation: trade_grader/build_rookie_draft_hub check freshness before use",3,"Medium (data freshness: trade analysis)","Clear script dependency documentation","Multiple consumers depend on pick_valuation output. If scripts run out of order, consumers see stale data."
DUP-012,Rules in code vs. JSON,services/rulebook/data/rules.json (authoritative JSON);inline rule logic in site/ccc/ccc.js (MYM limits, loaded caps, restructure logic);inline logic in worker/src/index.js (cap penalties, salary math);pipelines/etl/scripts/ (tag tiers, comp pick logic),"services/rulebook/data/rules.json (governance source); extracted rule logic parameters (cap numbers, limits, formulas) in D1:mfl_league_rules table","Inline rule references in site/*.js and worker/*.js (move to API calls)","1. Create D1:mfl_league_rules table: season, rule_code, rule_value (e.g., season=2026, rule='mym_limit', value=4) 2. Create worker GET /api/league-rules/:season endpoint returning all rules 3. Remove inline constants from site/ccc/ccc.js, worker/src/index.js, pipelines/* scripts 4. All rule-dependent logic: fetch from /api/league-rules at startup, cache locally 5. Add deprecation: warn if inline rule constant is detected",12,"Critical (rule changes break without code update)","D1 table design + API endpoint stability","Rules are scattered across rulebook.json, code, and Keith's memory file. Single source proposal: D1 table mirrored to rules.json on rebuild."
DUP-013,Cap math implementations (multiple formula locations),site/rosters/roster_workbench.js (cap penalty, loading, restructure logic);site/trades/trade_workbench.js (cap available, trade cap impact);worker/src/index.js (cap penalty scan, MYM validation);pipelines/etl/scripts/build_contract_history_snapshots.py (earning prorating, TCV reset),"Canonical D1 contract model (TCV fixed at creation, Salary Earned = % × actual year salary per memory/league_rules_2026_corrections v11)","Inline cap formulas in site/*.js and worker/*.js (call /api/cap-calculation endpoints instead)","1. Implement D1:cap_calculation table with per-contract-type formulas 2. Create worker POST /api/cap-calculation/penalty with {player_id, season, cut_date, contract_history} → penalty amount 3. Create worker GET /api/cap-calculation/available with {season, franchise_id} → available cap 4. Replace all inline cap math with API calls; document formula as comment + link to API 5. Add regression tests to pipelines/ validating API vs. historical cuts",8,"Critical (cap enforcement: league integrity)","Formula canonicalization (TCV immutability, earning milestones per v11); regression tests","Multiple implementations of salary earned (v11 shows bug in build_contract_history_snapshots.py: uses Sep 30 vs Oct 1 milestone). Risk: audit trail and real-time calculations diverge."
DUP-014,Tag tracking (code vs. JSON),services/rulebook/data/rules.json (tag mechanics, tier formulas);site/ccc/tag_tracking.json (live team tag status);D1:tag_tracking table (write via build_tag_tracking.py);inline tag logic in worker/src/index.js (tag eligibility, fallback salary calculation),"D1:tag_tracking (canonical current state); D1:mfl_league_rules (tag tier formulas); /api/tag-* endpoints (worker logic)","site/ccc/tag_tracking.json (if purely cached snapshot); inline tag logic in worker/src/index.js (move to API)","1. Create D1:tag_tiers table: season, position, tier_rank, formula (e.g., 'top_n_avg' with n=5) 2. Move tag-eligibility logic from worker to GET /api/tags/eligible?season=2026&franchise_id=0001 3. Move tag salary calculation to POST /api/tags/salary-for-position?season=2026&position=QB 4. Update tag_tracking.json generation to read from D1 + API 5. Add version metadata: tag_tracking.json includes timestamp and formula version",4,"Medium (league functionality: tag system)","Tag tier formula consolidation (currently in code, needs review per memory note on tier-rank dynamics)","Tag fallback logic lives in worker code. If tiers change, code must be deployed. No runtime flexibility."
DUP-015,Standings data (live vs. cached),Worker GET /acquisition-hub/rookies/live (reads R2:rookie_draft_history.json artifact);site/standings/standings_<league>_<year>.json (20 static snapshots);worker GET /api/mfl-league-state (live fetch from MFL API),"MFL API (live SoT); R2 bucket (cache for historical); site/standings/*.json (static snapshots only, not updated)","site/standings/*.json (if no longer refreshed); cache stale pattern","1. Verify: does site/standings/*.json get refreshed or is it frozen historical data? 2. If frozen: add note to inventory that these are EOY snapshots, no live updates 3. If live: move refresh to cron job; use R2 instead of git 4. Consolidate: live standings → worker fetch + R2 cache; historical → git snapshots + archive tag",2,"Low (display-only; no league impact)","Determine refresh pattern for standings snapshots","20 files in site/standings/ from 2010-2026. Last modified 2026-02-24. Unclear if these are refreshed or static."
DUP-016,Salary adjustments (derived vs. MFL),D1:salary_adjustments_feed (MFL export);site/reports/salary_adjustments/*.json (multi-year exports);site/reports/salary_adjustments/salary_adjustments_2025_derived_vs_mfl_mismatches.csv (audit),"D1:salary_adjustments_feed (MFL canonical); D1:salary_adjustments_derived (computed from contract logic)","site/reports/salary_adjustments/*.json (if derived artifact only; refresh on demand)","1. Clarify: are site/reports/salary_adjustments/*.json committed snapshots or live-refreshed? 2. If snapshot: add metadata (build date, source version) + annual refresh schedule 3. If live: move to R2 bucket + cron refresh 4. Audit CSV (salary_adjustments_2025_derived_vs_mfl_mismatches.csv) is flagged for review — document expected mismatch categories 5. Add D1 trigger: on each salary_adjustments_feed UPSERT, flag for reconciliation audit",4,"Medium (data quality: salary tracking)","Mismatch audit scope (expected vs. unexpected deltas); refresh strategy","Salary_adjustments_2025_derived_vs_mfl_mismatches.csv suggests known issues. Scope of mismatch not documented."
DUP-017,Player scoring reports (2024/2025 multi-year),site/reports/player_scoring/player_scoring_2024.json (5.4MB);site/reports/player_scoring/player_scoring_2025.json (5.3MB);D1:src_pointssummary (likely 2026+ data),"D1:src_pointssummary (live MFL data feed); site/reports/ = static exports for historical access","site/reports/player_scoring/*.json if no longer refreshed (archive to git tag or R2)","1. Verify: are 2024/2025 scoring JSONs updated annually or frozen snapshots? 2. If frozen: document archive location + add 'not updated 2026+' note 3. If live: move to R2 + cron refresh; keep site/ as symbolic links 4. Consolidate: live scoring → /api/player-scoring?season=2026; historical → archive.json or R2 prefix",1,"Low (display-only: reports)","Refresh vs. archive decision per Keith","5.4MB and 5.3MB scoring files suggest heavy historical data. Pattern suggests EOY snapshots that don't update intra-season."
DUP-018,MYM submission logging (JSON vs. DB),site/ccc/mym_submissions.json (GitHub-committed snapshot);D1:mym_submissions table (D1 mirror);D1:contract_forum_export_v3_all (consolidated audit log),"D1:contract_forum_export_v3_all (canonical audit trail); D1:mym_submissions (table mirror for queries)","site/ccc/mym_submissions.json (if worker stores primary)","1. Clarify: where does MYM submission POST endpoint write? (GitHub dispatch → worker → D1 or direct D1) 2. If worker primary: make site/ccc/mym_submissions.json a READ-ONLY cache (refresh hourly) 3. If git primary: add hooks to sync D1 on commit 4. Consolidate: all submissions (MYM, restructure, extension, contract) → contract_forum_export_v3_all via consistent path 5. Add submission_type field to v3_all (distinguish MYM from restructure from extension from discord_manual)",5,"Medium (audit trail: contract submissions)","Worker vs. git storage decision; submission type standardization","mym_submissions.json exists as snapshot (last modified 2026-02-16). Unknown if live updates exist elsewhere."
