delta_id,artifact_family,current_subject,current_state_summary,target_state_summary,delta_class,blocking_dependency,owner_lane,phase_target,notes
delta_contract_surface,surface,ccc_and_front_office,Contract actions are split across CCC Front Office and helper surfaces,One governed contract actions workspace owns the full lifecycle,replace,none,data_governance,phase_10,This is the highest-value surface merge in the rebuild
delta_trade_builder,surface,trade_war_room,Trade builder is powerful but cognitively dense and mixes direct MFL submission with limited offer-response messaging,"Keep the trade workspace but simplify route flow, move lightweight responses to Discord DM, keep acceptance on site, support deferred next-week processing after player kickoff, and keep release-1 execution scoped to two-team trades with commissioner-managed multi-party exceptions",replace,trade_kickoff_acceptance_validation,ux_review,phase_10,"Use progressive disclosure and explicit state transitions; architecture remains multi-party ready, but release 1 is explicitly two-team focused"
delta_roster_entry,surface,roster_workbench,Roster entry point is too thin and forces inference,Replace blank-shell landing with a real roster operations workspace and universal player-action launcher that shows only currently legal actions,replace,none,ux_review,phase_10,Roster page should be the streamlined player-action launch surface with governed ownership preserved underneath and no dead actions shown
delta_reports_router,surface,report_modes,Reports are hash or id routed and optimized for power users,Retain the suite but route by task and report intent,replace,none,ux_review,phase_12,Task-first reporting is required
delta_warning_model,surface,helpers_warnings,Warnings are scattered across modal assistant and inline contexts,Create one governed guidance and warning system with severity semantics,replace,none,data_governance,phase_10,Must align with warning and block policy matrix
delta_publish_runtime,workflow,worker_submission_flows,Worker flows are route-specific and environment-mixed,Replace with governed workflow and publish service,replace,publish_controls,ops_runtime,phase_9,Environment identity and verification must be explicit
delta_post_trade_job,job,post_trade_refresh,Refresh logic exists but is tied to legacy worker behavior,Retain as explicit recalculation job with governed lifecycle,keep,publish_controls,ops_runtime,phase_9,Needs job catalog alignment and verification
delta_manual_rebuild,job,full_pipeline_live_manual,Manual rebuild path mixes prod and test assumptions,Split into explicit environment-scoped rebuild commands,split,environment_split,ops_runtime,phase_9,No mixed env rebuilds survive into UPS_V2
delta_hardcoded_slots,hardcoded,message_slot_entrypoints,Message-slot entry is still a compatibility shell concern,Contain it to a thin shell and keep it out of UPS_V2 IA,replace,none,ux_review,phase_10,Compatibility is allowed only at the edge
delta_external_evidence,audit,external_evidence_paths,Several external evidence paths were not expanded in Phase 1 by owner choice,Do not block current planning on skipped evidence-path expansion,defer,owner_skip,data_governance,phase_2,Recorded as skipped_by_owner in audit_gap_register
