franchise,player,pos,current_type,proposed_type,confidence,current_contractInfo,proposed_contractInfo,proposed_contractInfo_note,mapping_note,drafted
Blake Bombers,"Allen, Kaytron",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.11
Blake Bombers,"Anderson, Will",DE,Veteran,Vet-FAA?,low,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2024)
Blake Bombers,"Barner, AJ",TE,Veteran,Vet-FAA,confirmed,CL 2| TCV 2K| AAV 1K,CL 2| TCV 2K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $1,000 (2025)"
Blake Bombers,"Boston, Denzel",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 18K|AAV 6K|Y1-6K, Y2-6K, Y3-6K|GTD: 13.5K|Keep Option as Y4Option =11K","CL 3|TCV 18K|AAV 6K|Y1-6K, Y2-6K, Y3-6K, Y4-11K Option|GTD: 13.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.10
Blake Bombers,"Brissett, Jacoby",QB,TAG,Tag,confirmed,CL 1| TCV 16K| AAV 16K| GTD 12K| Tag| Tier 3| Formula: Avg Top 16-24 QB AAV,CL 1| TCV 16K| AAV 16K| GTD 12K| Tag| Tier 3| Formula: Avg Top 16-24 QB AAV,(numbers unchanged — type only),Tag/TAG case-merge.,"BB $5,000 (2025)"
Blake Bombers,"Bryant, Pat",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2025)
Blake Bombers,"Corum, Blake",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2025)
Blake Bombers,"Dowdle, Rico",RB,Veteran,Vet-Ext1,confirmed,CL 2| TCV 12K| AAV 11K| Ext: Blake,CL 2| TCV 12K| AAV 11K| Ext: Blake,BACKFILL: multi-year missing Y-schedule,corrected — 1yr extension,Trade (2025)
Blake Bombers,"Ferguson, Terrance",TE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,3.05 (2025)
Blake Bombers,"Godwin, Chris",WR,Veteran,Vet-FAA,confirmed,CL 2| TCV 20K| AAV 10K,CL 2| TCV 20K| AAV 10K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $10,000 (2025)"
Blake Bombers,"Golden, Matthew",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,2.05 (2025)
Blake Bombers,"Hampton, Omarion",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 39K| AAV 13K | Option Eligible,CL 3| TCV 39K| AAV 13K | Option Eligible,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.03 (2025)
