# UPS THREE-VALUE BOARD — every line beginning with '#' is metadata; skip them to parse the CSV.
# generated: 2026-07-23T07:17:44-04:00   league: L=74598 2026   cap: $300K   viewer: 0008 (Real Deal Creel)
# rows: 1468  (FA 1147 / rostered 321)
#
# ── THE THREE VALUES (they do NOT sum; each answers a different question) ──
# current_season_value_k = worth for 2026 only. Offense: E[APWE] at the FantasyPros redraft
#     slot x $6.5/APWE. IDP/K/P: the UPS auction order-statistic ladder (see IDP CAVEAT).
# ultimate_value_k = dynasty_value_raw_k + contract_surplus_k. NOT a triple sum; option value is
#     NOT folded in (see option_band) because it would double-count the surplus already priced.
#     contract_surplus = SUM over t=0..cy-1 of 0.9^t * (ep_equiv_k * DECAY[pos]^t - aav_k)
#     DECAY = {'QB': 0.95, 'RB': 0.8, 'WR': 0.93, 'TE': 0.93, 'DL': 0.92, 'LB': 0.92, 'DB': 0.92, 'PK': 0.97, 'PN': 0.97}
#     A free agent's surplus is 0 by construction: an auction win becomes a 1-yr Vet-FAA at the
#     price paid, so there is no contract edge at the moment of purchase.
# fa_value_k = expected auction price, auction-eligible (unrostered) rows ONLY; blank if rostered.
#
# ── !! THE TWO VALUE COLUMNS ARE ON DIFFERENT DOLLAR SCALES — READ THIS BEFORE COMPARING !! ──
# current_season_value_k is denominated at $6.5/APWE, which the backtest says runs ~1.6-1.9x
# HOT vs realized auction dollars. fa_value_k is in realized auction dollars. Comparing them
# directly makes every player look like a bargain. THAT COMPARISON IS INVALID.
# current_season_market_k restates the SAME 2026-only value in realized auction dollars, using the
#   fitted clearing line (2.67 + 0.84*redraft_worth) x M_money. No new constant.
#   >>> To ask 'is this 2026 price fair?', compare fa_value_k against current_season_market_k. <<<
#   >>> current_season_value_k is the production measure; it is NOT a dollar you would bid. <<<
#
# ── EP MODEL SERVED ──
# model: v5   ep = round(max(floor, max(affine, dyn_anchor) * M_money))
# calibration: ep_v5_calibration.json ship_gate=True   lambda=0.47699  R_bar=2.56783
# gamma=0.0 (sign-guarded=True) -> M_pos is INERT (identically 1.0).
# elite factor 1.0 enabled=False -> inert.
# LIVE REGIME: R_now = (sum capspace $1426K - sum reserve $105K) / credible redraft-worth $954K = 1.3847
# M_money raw = 0.7802  ->  SERVED 0.8000
# *** M_money IS PINNED TO ITS CLAMP FLOOR 0.8. THE 20% MARKDOWN IS A CHOSEN
# *** FLOOR, NOT A MEASURED QUANTITY. The fitted model wanted 0.7802; the clamp overrode it.
# *** The clamp [0.8, 1.6] is a Keith-tunable guardrail, never fitted to data.
# *** R_now 1.385 is OUTSIDE the fitted range [2.0689, 3.5695]. M_money is an extrapolation.
#
# ── BUDGET-CONSTRAINT COHERENCE (the accounting identity, checked at BUILD time) ──
# PROJECTED SPEND = clamp(deploy_frac 0.714 x available $1426K,  mandatory floor $946K,  available) = $1018K.
#   deploy_frac is the SF-era mean (spend / pre-auction available; 2022-25 = 0.75/0.64/0.75/0.72).
#   mandatory floor = 12 x $260K committed (league_context_v1.md:161) - $2174K committed today.
# PREDICTED CLEARING SET = sum of fa_value over the top-N per bucket (N = this league's historical
#   mean clears: QB16 RB30 WR28 TE13 | DL20 LB24 DB23 PK12 PN11, total ~176). NOT sum-of-all-rows.
# CONSTRAINT: predicted clearing set  ==  projected spend.
#   predicted $1061.8K  /  projected $1018K  =  RATIO 1.043   [band 0.6-1.15]   status=OK
#   per-bucket predicted-clearing $K: QB:356  RB:255  WR:200  TE:88  DL:44  LB:52  DB:40  PK:15  PN:13
# BUDGET NORMALIZE = tail: reshaped to the SF-era realized curve (measured from the archive):
#   $1K-share 49%  top10-share 42%  top25-share 62%
#   segment scales: top-10 x1.009  ranks 11-25 x0.774  rest x0.586
#   (before 1.142 -> after 1.043; studs UP to the historical dollar share, tail toward $1K)
#   Applied to OFFENSE FA prices only; IDP/K/P ladder already clears at realized $ (untouched).
#
# ── PER-ARM BINDING COUNTS (FA offense rows) ──
# credible branch rw>=3 (n=38): floor=9  affine=18  dyn_anchor=11
# ep>=5-only branch (n=20): floor=3  affine=0  dyn_anchor=17
# The ep>=5-only branch is POLLUTED for 2026: dynasty_adp_history.csv has no 2026 rows, so it
# falls back to a KTC board carrying only the top ~396 players. Trust the rw>=3 branch.
# Union of both branches = 58 credible rows, of which 28 bind on the dynasty anchor.
# NOTE ON ATTRIBUTION: the arm is recorded AFTER M_money scales the two market arms, so a row
#   whose scaled market arm drops below the startability floor is credited to 'floor' here even
#   though it would read 'dyn_anchor' pre-scaling. That accounts for ~2 rows of drift vs a
#   pre-scaling census. M_money never reorders affine vs dyn_anchor (it scales both equally).
# dyn_anchor_hit=TRUE on 164 rows: the $75K top-asset anchor is a HAND-PIN
#   and sits ABOVE 3 of the last 4 season maxima ($66K/$94K/$61K/$56K). Every TRUE row is a judgement call.
#
# ── IDP / K / P CAVEAT (READ THIS) ──
# IDP, K and P are MANDATORY STARTERS (2 DL, 2 LB, 2 DB, 1 D-Flex, 1 K, 1 P) and are NOT on the
# offense scale. Offense = 3 independent cardinal panels. IDP = ONE source (FantasyPros dynasty-IDP
# ECR) through a hand-made LINEAR ramp idpVal = 10000 - rank*45. At the offense $/value-unit that
# ramp claims IDP1 ~= $74K and rank-100 ~= $41K. THE UPS LEAGUE HAS NEVER PAID
# MORE THAN $15K FOR AN IDP and the median clear is $1-2K. The ramp is off by 10-40x mid-board.
# THIS BOARD DOES NOT USE THE RAMP. IDP/K/P price off the UPS auction order-statistic ladder:
# for each bucket, the k-th most expensive clear per season, averaged 2022-25. The raw ramp value
# is echoed in idp_ramp_value_k so the distortion stays visible.
# *** For IDP/K/P the VALUE axis and the PRICE axis are THE SAME MEASUREMENT. There is no
# *** independent value signal, so do NOT read a value-vs-price surplus verdict off those rows.
# IDP source_count/dispersion mean something DIFFERENT than on offense: they count independent
#   ORDERINGS (FantasyPros dynasty-IDP ECR vs MFL week-1 league-scoring projection), not cardinal
#   panels, and dispersion is the $K gap between the price each ordering implies. The two disagree
#   hard on pass rushers - ECR is an OVERALL IDP list where tackle-volume LBs crowd out DL, so it
#   ranks Micah Parsons ~9th among DL while MFL scoring has him top-3. A large dispersion here
#   means the RANKING is contested, not that the dollar is volatile. Order matters more than
#   price on this shopping list: every rung past ~6 is $1-2K anyway.
# K and P have NO dynasty source anywhere in the pipeline -> scale_trust=none. In 2024 every
# single K and P cleared at exactly $1K. Budget $1-2K each and buy them last.
#   ladder[DL]: n=81 clears  median $1.0K  max $13.0K  top rungs [10.0, 5.0, 3.8, 3.5, 3.0, 2.2]
#   ladder[LB]: n=97 clears  median $2.0K  max $15.0K  top rungs [7.2, 5.2, 4.0, 3.5, 3.2, 3.0]
#   ladder[DB]: n=90 clears  median $1.0K  max $9.0K  top rungs [5.5, 4.0, 3.5, 3.2, 2.8, 2.5]
#   ladder[PK]: n=48 clears  median $1.0K  max $3.0K  top rungs [2.0, 2.0, 1.2, 1.2, 1.2, 1.0]
#   ladder[PN]: n=44 clears  median $1.0K  max $3.0K  top rungs [2.0, 1.5, 1.2, 1.0, 1.0, 1.0]
#
# ── OTHER MODEL CAVEATS ──
# $/APWE = $6.5 is ~1.6-1.9x hot vs the realized market. It CANCELS out of the price ratio
#   but it BIASES any value-vs-price verdict, so no verdict column is shipped here.
# e_apwe_p90 is OMITTED: a p50 tail adjustment in build_eapw_curves.py:92 inflates p50 above p90 on
#   126 rows, which would be an impossible ceiling. Rather than ship it wrong, it is not shipped.
# option_band is a LABEL. Extension strikes: Schedule 1 (QB/RB/WR/TE) +$10K/1yr, +$20K/2yr;
#   Schedule 2 (DL/LB/DB/PK/PN) +$3K/1yr, +$5K/2yr. Tag = max(positional tier, 1.10 x prior AAV).
#
# ── TIERS ──
# Cut where the drop from the player above is >=20% of his value AND >=$1.0K absolute.
# Computed separately for FA and rostered, so the FA ladder answers 'what is the next BUYABLE body
# worth?'. Both guards are required: relative-only splits the $1-2K fodder on rounding noise;
# absolute-only gives every elite QB his own private tier (the gaps up there are $9-16K).
# unpriced rows: 1 rostered skill player(s) carry no source ranking at all and ship with
#   every dollar column BLANK (scale_trust=unpriced-no-source) rather than a confident zero.
#
# ── TUNABLES (judgement calls, not fits) ──
# DISC=0.9  MIN_ROSTER=27  TIER_GAP_REL=0.2  TIER_GAP_ABS=1.0
# IDP_AGE_PIVOT=27.0  IDP_AGE_SLOPE=0.03  TAG_MULT=1.1
# m_money_clamp=[0.8, 1.6]  m_pos_clamp=[0.85, 1.35]  (both Keith-tunable guardrails)
# DYN_ANCHOR_K=$75K  POS_DYN_W={'QB': 1.0, 'WR': 0.9, 'TE': 0.9, 'RB': 0.55}  AFFINE=2.67+0.84*rw
#
player,pos,nfl_team,age,status,owner,salary_k,years_remaining,contract_type,aav_k,tcv_k,current_season_value_k,ultimate_value_k,fa_value_k,dynasty_value_raw_k,contract_surplus_k,option_band,ep_arm_bound,dyn_anchor_hit,tier,source_count,dispersion,scale_trust,current_season_market_k,ep_equiv_k,idp_ramp_value_k
Josh Allen,QB,BUF,30.1,FA,,,,,,,75,76.0,62,76,0.0,n/a - auction win = 1yr Vet-FAA at price paid,dyn_anchor,TRUE,QB-T1,3,2.3,cardinal-3panel,52.5,62.0,
Lamar Jackson,QB,BAL,29.4,FA,,,,,,,74,53.0,52,53,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,QB-T2,3,12.8,cardinal-3panel,51.9,52.0,
Joe Burrow,QB,CIN,29.5,FA,,,,,,,67,51.0,47,51,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,QB-T2,3,10.9,cardinal-3panel,47.2,47.0,
Christian McCaffrey,RB,SFO,30,FA,,,,,,,59,27.0,42,27,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,RB-T1,3,13.0,cardinal-3panel,41.8,42.0,
Jonathan Taylor,RB,IND,27.4,FA,,,,,,,59,33.0,42,33,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,RB-T1,3,11.0,cardinal-3panel,41.8,42.0,
Saquon Barkley,RB,PHI,29.4,FA,,,,,,,59,25.0,42,25,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,RB-T1,3,20.0,cardinal-3panel,41.8,42.0,
George Pickens,WR,DAL,25.3,FA,,,,,,,54,31.0,38,31,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,WR-T1,3,11.6,cardinal-3panel,38.4,38.0,
Dak Prescott,QB,DAL,32.9,FA,,,,,,,50,28.0,36,28,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,QB-T4,3,6.9,cardinal-3panel,35.7,36.0,
DeVonta Smith,WR,PHI,27.6,FA,,,,,,,47,26.0,34,26,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,WR-T1,3,14.6,cardinal-3panel,33.7,34.0,
Patrick Mahomes II,QB,KCC,30.8,FA,,,,,,,40,39.0,31,39,0.0,n/a - auction win = 1yr Vet-FAA at price paid,dyn_anchor,TRUE,QB-T3,2,4.2,cardinal-3panel,29.0,31.0,
Matthew Stafford,QB,LAR,38.4,FA,,,,,,,37,18.0,21,18,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,QB-T4,3,19.3,cardinal-3panel,27.0,21.0,
Josh Jacobs,RB,GBP,28.4,FA,,,,,,,25,18.0,20,18,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,RB-T2,3,22.0,cardinal-3panel,18.9,20.0,
Jared Goff,QB,DET,31.7,FA,,,,,,,31,24.0,18,24,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,QB-T4,3,12.1,cardinal-3panel,23.0,18.0,
Kyler Murray,QB,MIN,28.9,FA,,,,,,,31,21.0,18,21,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,QB-T4,3,8.5,cardinal-3panel,23.0,18.0,
Jaylen Waddle,WR,DEN,27.6,FA,,,,,,,27,25.0,16,25,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,WR-T1,3,12.3,cardinal-3panel,20.3,16.0,
Jameson Williams,WR,DET,25.2,FA,,,,,,,25,21.0,15,21,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,WR-T1,3,18.3,cardinal-3panel,18.9,15.0,
Kyle Pitts Sr.,TE,ATL,25.7,FA,,,,,,,10,24.0,14,24,0.0,n/a - auction win = 1yr Vet-FAA at price paid,dyn_anchor,TRUE,TE-T1,2,11.8,cardinal-3panel,8.9,14.0,
Mark Andrews,TE,BAL,30.8,FA,,,,,,,5,12.0,14,12,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,TE-T3,3,17.9,cardinal-3panel,5.5,14.0,
Travis Kelce,TE,KCC,36.7,FA,,,,,,,8,12.0,14,12,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,TE-T3,3,17.6,cardinal-3panel,7.5,14.0,
Malik Willis,QB,MIA,27.1,FA,,,,,,,22,17.0,13,17,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,QB-T4,3,17.8,cardinal-3panel,16.9,13.0,
Aaron Rodgers,QB,PIT,42.5,FA,,,,,,,6,8.0,12,8,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,QB-T5,3,13.0,cardinal-3panel,6.2,12.0,
D'Andre Swift,RB,CHI,27.4,FA,,,,,,,19,16.0,12,16,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,RB-T2,3,20.6,cardinal-3panel,14.9,12.0,
Daniel Jones,QB,IND,29.1,FA,,,,,,,10,16.0,12,16,0.0,n/a - auction win = 1yr Vet-FAA at price paid,dyn_anchor,TRUE,QB-T4,3,20.2,cardinal-3panel,8.9,12.0,
Jacoby Brissett,QB,ARI,33.5,FA,,,,,,,5,10.0,12,10,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,QB-T5,3,17.1,cardinal-3panel,5.5,12.0,
Aidan Hutchinson,DE,DET,26.0,FA,,,,,,,10.0,10.3,10.0,10.3,0.0,n/a - auction win = 1yr Vet-FAA at price paid,ups-auction-ladder,FALSE,DL-T1,2,7.8,idp-linear-1source,10.0,10.0,73.7
Chuba Hubbard,RB,CAR,27,FA,,,,,,,6,12.0,10,12,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,RB-T2,3,20.6,cardinal-3panel,6.2,10.0,
DK Metcalf,WR,PIT,28.5,FA,,,,,,,16,14.0,10,14,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,WR-T2,3,16.8,cardinal-3panel,12.9,10.0,
Jaylen Warren,RB,PIT,27.6,FA,,,,,,,5,13.0,10,13,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,RB-T2,3,20.5,cardinal-3panel,5.5,10.0,
Parker Washington,WR,JAC,24.2,FA,,,,,,,16,15.0,10,15,0.0,n/a - auction win = 1yr Vet-FAA at price paid,affine,FALSE,WR-T2,3,20.8,cardinal-3panel,12.9,10.0,
Rhamondre Stevenson,RB,NEP,28.3,FA,,,,,,,5,12.0,10,12,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,RB-T2,3,19.6,cardinal-3panel,5.5,10.0,
Tony Pollard,RB,TEN,29.1,FA,,,,,,,4,11.0,10,11,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,RB-T2,3,18.6,cardinal-3panel,4.8,10.0,
Jordyn Brooks,LB,MIA,28.8,FA,,,,,,,7.2,6.9,7.2,6.9,0.0,n/a - auction win = 1yr Vet-FAA at price paid,ups-auction-ladder,FALSE,LB-T1,2,3.2,idp-linear-1source,7.2,7.2,72.0
Isaiah Likely,TE,NYG,26.2,FA,,,,,,,4,16.0,7,16,0.0,n/a - auction win = 1yr Vet-FAA at price paid,dyn_anchor,TRUE,TE-T2,3,19.7,cardinal-3panel,4.8,7.0,
Joe Flacco,QB,CIN,41.4,FA,,,,,,,2,1.0,6,1,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,QB-T8,3,7.6,cardinal-3panel,3.5,6.0,
Justin Fields,QB,KCC,27.3,FA,,,,,,,2,7.0,6,7,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,QB-T5,3,14.1,cardinal-3panel,3.5,6.0,
Kirk Cousins,QB,LVR,37.8,FA,,,,,,,2,6.0,6,6,0.0,n/a - auction win = 1yr Vet-FAA at price paid,floor,FALSE,QB-T5,3,13.3,cardinal-3panel,3.5,6.0,
Kyle Hamilton,S,BAL,25.4,FA,,,,,,,5.5,5.8,5.5,5.8,0.0,n/a - auction win = 1yr Vet-FAA at price paid,ups-auction-ladder,FALSE,DB-T1,2,4.5,idp-linear-1source,5.5,5.5,65.3
Foyesade Oluokun,LB,JAC,31.0,FA,,,,,,,5.2,4.6,5.2,4.6,0.0,n/a - auction win = 1yr Vet-FAA at price paid,ups-auction-ladder,FALSE,LB-T2,2,3.8,idp-linear-1source,5.2,5.2,71.3
Chig Okonkwo,TE,,26.8,FA,,,,,,,4,12.0,5,12,0.0,n/a - auction win = 1yr Vet-FAA at price paid,dyn_anchor,TRUE,TE-T3,3,18.4,cardinal-3panel,4.8,5.0,
Gunnar Helm,TE,TEN,23.8,FA,,,,,,,3,11.0,5,11,0.0,n/a - auction win = 1yr Vet-FAA at price paid,dyn_anchor,TRUE,TE-T3,3,19.1,cardinal-3panel,4.2,5.0,
Hunter Henry,TE,NEP,31.5,FA,,,,,,,4,10.0,5,10,0.0,n/a - auction win = 1yr Vet-FAA at price paid,dyn_anchor,TRUE,TE-T3,3,16.3,cardinal-3panel,4.8,5.0,
Juwan Johnson,TE,NOS,29.8,FA,,,,,,,4,10.0,5,10,0.0,n/a - auction win = 1yr Vet-FAA at price paid,dyn_anchor,TRUE,TE-T3,3,15.7,cardinal-3panel,4.8,5.0,
