player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Jeremiyah Love,RB,1,100.0,Tier1,ARI,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,Tier 1 alone; consensus 1.01 in SF TEP PPR (Sanderson's primary format)
Fernando Mendoza,QB,1,93.5,Tier2,LV,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,SF TEP elevates QB1; Heisman/CFP undefeated; sit behind Cousins Y1
Carnell Tate,WR,1,92.0,Tier2,TEN,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,Tate-Tyson cluster; pick #4 overall; clearest path to team WR1
Jordyn Tyson,WR,2,90.5,Tier2,NO,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,Top WR cluster 1.02-1.04 range
Makai Lemon,WR,3,84.0,Tier3,PHI,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,Pick #20; Sanderson tends to value production - watch for Lemon over Concepcion
Kenyon Sadiq,TE,1,82.0,Tier3,NYJ,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,TEP boost; TE1; Sanderson disagrees with JJ Zachariason - values college production over pure athleticism
KC Concepcion,WR,4,80.0,Tier3,CLE,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Jadarian Price,RB,2,77.0,Tier3,SEA,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,RB2; pick #32
Eli Stowers,TE,2,74.0,Tier3,PHI,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,TEP boost; TE2; production-driven prospect aligns with Sanderson framework
Omar Cooper Jr.,WR,5,71.0,Tier3,NYJ,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Ty Simpson,QB,2,68.0,Tier4,LAR,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,SF TEP QB premium
Denzel Boston,WR,6,65.0,Tier4,CLE,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,Production profile (62-881-11 in 2025) likely valued by Sanderson
Jonah Coleman,RB,3,62.0,Tier4,DEN,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Antonio Williams,WR,7,59.0,Tier4,WAS,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Germie Bernard,WR,8,56.0,Tier4,PIT,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Chris Bell,WR,9,53.0,Tier4,MIA,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Malachi Fields,WR,10,50.0,Tier4,NYG,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Chris Brazzell II,WR,11,47.0,Tier4,CAR,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Mike Washington Jr.,RB,4,44.0,Tier5,LV,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Oscar Delp,TE,3,41.0,Tier5,NO,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,TEP boost
De'Zhaun Stribling,WR,12,38.0,Tier5,SF,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Emmett Johnson,RB,5,35.0,Tier5,KC,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Eli Raridon,TE,4,32.0,Tier5,NE,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,TEP boost
Max Klare,TE,5,29.0,Tier5,LAR,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,TEP boost
Nicholas Singleton,RB,6,26.0,Tier5,TEN,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Bryce Lance,WR,13,23.0,Tier5,NO,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,
Justin Joly,TE,6,20.0,Tier5,DEN,https://jakobsanderson.substack.com/p/post-draft-rookie-rankings-v10,TEP boost
