displayed_data,source_path,writer,schedule,expected_staleness_max,consuming_artifact,last_modified,staleness_days_now,failure_mode,monitoring,severity
Standings (2026),site/standings/standings_74598_2026.json,build_standings_snapshot.py,manual,weekly,hpm-standings.html,2026-02-24,64,silent_stale,no,Critical
Standings (2025),site/standings/standings_74598_2025.json,build_standings_snapshot.py,manual,season-static,hpm-standings.html,2026-02-24,64,silent_stale,no,Low
Standings (2024),site/standings/standings_74598_2024.json,build_standings_snapshot.py,manual,season-static,hpm-standings.html,2026-02-24,64,silent_stale,no,Low
Standings (2023),site/standings/standings_74598_2023.json,build_standings_snapshot.py,manual,season-static,hpm-standings.html,2026-02-24,64,silent_stale,no,Low
Contract Command Center (CCC) - MYM Dashboard,site/ccc/mym_dashboard.json,refresh_mym_dashboard_from_mfl.py,cron: 20 * * * * (hourly),1h,hpm-ccc.html,2026-03-07,52,silent_stale,no,Critical
Contract Command Center - Tag Tracking,site/ccc/tag_tracking.json,build_tag_tracking.py,manual,weekly,hpm-ccc.html,2026-03-09,50,silent_stale,no,Critical
Contract Command Center - Player Points History,site/ccc/player_points_history.json,build_player_points_history_json.py,manual,weekly,hpm-ccc.html,2026-02-16,71,silent_stale,no,Critical
Contract Command Center - CCC Release Log,site/ccc/ccc_release_log.json,manual,manual,season-static,hpm-ccc.html,2026-02-16,71,silent_stale,no,Low
MYM Submissions (historical),site/ccc/mym_submissions.json,log_mym_submission.py,on-push (GitHub Action),weekly,hpm-ccc.html,2026-02-16,71,silent_stale,no,Low
Restructure Submissions,site/ccc/restructure_submissions.json,log_restructure_submission.py,on-push (GitHub Action),weekly,hpm-ccc.html,2026-02-16,71,silent_stale,no,Low
Tag Submissions,site/ccc/tag_submissions.json,log_contract_activity.py,on-push (GitHub Action),weekly,hpm-ccc.html,2026-02-16,71,silent_stale,no,Low
Rookie Draft Hub - 2026 State,site/rookies/rookie_draft_hub_2026.json,build_rookie_draft_hub.py,manual,weekly,hpm-draft-hub.html,2026-04-21,7,silent_stale,no,Critical
Rookie Draft Hub - Prospects 2026,site/rookies/rookie_prospects_2026.json,build_rookie_draft_hub.py,manual,weekly,hpm-draft-hub.html,2026-04-21,7,silent_stale,no,Critical
Rookie Draft Hub - Tiers,site/rookies/rookie_draft_tiers.json,build_rookie_draft_hub.py,manual,season-static,hpm-draft-hub.html,2026-04-21,7,silent_stale,no,Low
Rookie Draft History,site/rookies/rookie_draft_history.json,rookie_hit_rate_build.py + rookie_extension_followthrough.py,manual,season-static,hpm-draft-hub.html + acquisition_hub.html,2026-04-21,7,silent_stale,no,Low
Rookie AP vs Expected Performance,site/rookies/rookie_ap_vs_ep.json,build_rookie_draft_hub.py,manual,weekly,hpm-draft-hub.html,2026-04-21,7,silent_stale,no,Low
Rookie Team Tendencies,site/rookies/rookie_draft_team_tendencies.json,build_rookie_draft_hub.py,manual,season-static,hpm-draft-hub.html,2026-04-21,7,silent_stale,no,Low
Rookie Draft Day Trades,site/rookies/rookie_draft_day_trades.json,build_rookie_draft_hub.py,manual,season-static,hpm-draft-hub.html,2026-04-21,7,silent_stale,no,Low
Rookie Future Picks,site/rookies/rookie_future_picks.json,build_rookie_draft_hub.py,manual,season-static,hpm-draft-hub.html,2026-04-21,7,silent_stale,no,Low
Rookie Cohort Outcomes,site/rookies/rookie_cohort_outcomes.csv,rookie_hit_rate_build.py,manual,monthly,hpm-draft-hub.html,2026-04-21,7,silent_stale,no,Low
Acquisition Hub - Rookie Draft History,site/acquisition/rookie_draft_history.json,build_acquisition_hub_artifacts.py,cron: 15 * * * * (hourly),weekly,hpm-draft-hub.html,2026-03-11,48,silent_stale,no,Critical
Acquisition Hub - Waiver History,site/acquisition/waiver_history.json,build_acquisition_hub_artifacts.py,cron: 15 * * * * (hourly),weekly,hpm-draft-hub.html,2026-03-11,48,silent_stale,no,Low
